Running Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Grand Total
12/11/25,1,0,0,0,0,0,1,0,0,2,29,1,1,1,0,4,3,6,12,0,70,72,135,91,90,58,17,1,1,596
12/12/25,1,0,0,0,2,0,1,0,0,9,30,8,3,1,2,8,4,7,19,37,72,75,137,92,93,60,18,1,1,681
12/15/25,42,8,72,139,101,78,99,144,21,40,256,42,23,18,17,23,16,33,52,166,238,230,278,222,347,195,67,59,9,3035
12/16/25,104,46,108,208,146,128,150,186,38,127,379,124,52,45,79,96,70,79,140,211,571,600,509,439,808,530,353,285,280,6891
12/17/25,436,263,124,225,161,141,159,221,102,267,445,251,168,119,133,210,184,144,204,226,629,639,542,463,859,601,664,567,571,9718
12/18/25,594,467,148,251,190,163,178,260,202,409,543,390,264,222,227,338,350,237,294,288,657,669,559,469,872,733,797,721,985,12477
12/19/25,703,687,207,261,209,175,199,291,321,553,779,483,341,281,292,434,429,311,357,475,675,693,567,480,878,765,819,758,1406,14829
12/22/25,791,887,230,273,215,185,210,320,448,666,944,581,437,364,351,528,592,422,458,695,699,716,579,490,899,850,907,802,1425,16964
12/23/25,864,973,236,283,220,197,221,336,477,716,1176,618,454,392,423,565,623,465,509,994,771,737,599,547,1065,1108,1920,1024,1587,20100
12/24/25,902,973,236,283,220,197,222,336,477,716,1288,619,458,393,423,565,623,468,509,996,773,738,599,547,1065,1109,2159,1071,1681,20646
12/26/25,903,981,236,283,220,197,222,336,477,716,1288,619,458,394,424,565,623,468,510,996,774,738,600,547,1066,1109,2161,1072,1683,20666
12/29/25,958,1001,239,292,223,203,226,341,478,717,1307,621,462,403,426,567,629,479,520,1002,812,762,629,568,1162,1167,2299,1216,1852,21561
12/30/25,1125,1403,264,328,283,224,236,365,527,743,1402,652,531,434,445,616,685,530,577,1015,861,826,670,610,1360,1368,2395,1550,2125,24150
12/31/25,1157,1497,299,432,364,289,278,381,582,761,1446,674,546,457,481,669,722,562,619,1027,907,885,712,665,1549,1484,2827,1931,2258,26461
1/2/26,1170,1530,300,460,369,317,291,395,614,784,1493,701,565,472,512,692,753,575,655,1029,926,921,733,680,1561,1555,2850,1942,2314,27159
1/5/26,1259,1871,354,587,450,392,344,460,650,804,1543,721,590,481,547,710,782,621,717,1273,1022,1027,887,815,1753,1710,3038,2007,2325,29740
1/6/26,1344,2178,437,755,643,459,394,483,675,852,1680,849,648,507,595,812,808,655,751,1368,1133,1110,988,985,1896,1861,3249,2195,2336,32646
1/7/26,1358,2183,444,773,652,466,400,496,707,892,1735,957,719,527,630,857,831,692,794,1380,1231,1271,1119,1138,2175,2163,3538,2311,2737,35176
1/8/26,1395,2193,454,776,663,472,403,508,727,916,1767,966,726,542,681,872,857,722,842,1450,1442,1424,1248,1291,2364,2367,3661,2362,2915,37006
1/9/26,1401,2217,460,777,665,474,406,511,732,922,1782,970,733,548,683,875,861,729,858,1496,1505,1471,1330,1360,2465,2531,3687,2375,2921,37745
1/12/26,1428,2221,564,845,737,542,515,554,783,957,1812,1015,780,591,714,914,876,752,869,1500,1537,1515,1352,1379,2477,2555,3730,2429,2925,38868
1/13/26,1587,2227,633,909,803,612,652,651,792,989,1855,1039,802,615,751,934,898,808,908,1595,1720,1779,1578,1525,2802,2888,4076,2663,2994,42085
1/14/26,1694,2413,754,996,886,656,714,751,811,1017,1906,1093,856,670,809,987,969,879,994,1621,1800,1888,1656,1610,3139,3083,4408,2938,3155,45153
1/15/26,1708,2414,786,1010,903,682,773,871,822,1047,1916,1121,877,681,862,1026,982,905,1029,1630,1809,1900,1664,1618,3166,3147,4778,2990,3228,46345
1/16/26,1716,2450,815,1051,942,694,794,924,854,1080,1938,1169,913,731,942,1068,1003,923,1076,1895,1854,1936,1739,1658,3290,3241,5032,2996,3230,47954
1/20/26,1917,2483,990,1176,1016,732,821,965,866,1092,1996,1196,926,750,956,1124,1030,983,1122,2065,1984,2038,1830,1733,3404,3356,5492,3009,3231,50283
1/21/26,2274,2648,1099,1260,1088,765,892,1085,895,1133,2038,1240,976,795,1028,1184,1062,1019,1167,2212,2180,2117,1863,1757,3562,3522,5711,3112,3577,53261
